#{"t_start": 1705386979.1042128, "env_id": "None"}
r,l,t
30.0,30,15.972641
23.0,23,15.97464
12.0,12,15.97464
48.0,48,15.982643
15.0,15,15.985642
37.0,37,15.986642
14.0,14,15.987642
13.0,13,15.995641
10.0,10,15.996641
14.0,14,16.00164
63.0,63,16.003641
44.0,44,16.016642
15.0,15,16.017641
24.0,24,16.021641
37.0,37,16.023638
23.0,23,16.027643
14.0,14,16.030645
36.0,36,16.032643
60.0,60,16.034642
14.0,14,16.035642
13.0,13,16.040642
29.0,29,16.047153
23.0,23,16.047153
14.0,14,16.061152
33.0,33,16.064151
39.0,39,16.071155
26.0,26,16.072153
40.0,40,16.074153
16.0,16,16.075154
45.0,45,16.078155
14.0,14,16.084155
14.0,14,16.088154
15.0,15,16.088154
60.0,60,16.097153
39.0,39,16.099154
139.0,139,16.102154
35.0,35,16.103154
19.0,19,16.106154
14.0,14,16.114154
24.0,24,16.118154
39.0,39,16.123154
25.0,25,16.124154
45.0,45,16.125152
52.0,52,16.125152
20.0,20,16.133157
18.0,18,16.139156
24.0,24,16.139156
10.0,10,16.147665
21.0,21,16.150664
38.0,38,16.157663
22.0,22,16.158662
44.0,44,16.162663
69.0,69,16.167664
51.0,51,16.169664
13.0,13,16.172666
17.0,17,16.175666
28.0,28,16.175666
87.0,87,16.178664
13.0,13,16.182663
11.0,11,16.183663
23.0,23,16.186663
20.0,20,16.193663
18.0,18,16.194663
14.0,14,16.194663
15.0,15,16.196664
42.0,42,16.206664
20.0,20,16.212663
22.0,22,16.213665
20.0,20,16.214664
44.0,44,16.215665
73.0,73,16.219667
10.0,10,16.225667
16.0,16,16.228676
16.0,16,16.229675
17.0,17,16.231675
14.0,14,16.239675
59.0,59,16.242789
20.0,20,16.249785
17.0,17,16.256784
31.0,31,16.262787
44.0,44,16.263786
22.0,22,16.271786
13.0,13,16.277782
75.0,75,16.281784
29.0,29,16.285783
14.0,14,16.286783
27.0,27,16.290783
102.0,102,16.293786
21.0,21,16.295786
10.0,10,16.299785
27.0,27,16.310785
72.0,72,16.312785
16.0,16,16.314785
94.0,94,16.320783
38.0,38,16.321783
31.0,31,16.325784
49.0,49,16.32879
42.0,42,16.335791
24.0,24,16.344854
33.0,33,16.345853
20.0,20,16.347854
39.0,39,16.348854
46.0,46,16.361853
19.0,19,16.365853
48.0,48,16.373853
14.0,14,16.379852
34.0,34,16.391854
14.0,14,16.391854
21.0,21,16.392854
14.0,14,16.396854
54.0,54,16.396854
17.0,17,16.412853
62.0,62,16.414854
26.0,26,16.416854
23.0,23,16.418854
72.0,72,16.425857
37.0,37,16.426867
15.0,15,16.428866
24.0,24,16.438867
50.0,50,16.439867
14.0,14,16.439867
19.0,19,16.442937
20.0,20,16.446936
15.0,15,16.453938
45.0,45,16.454937
40.0,40,16.455937
23.0,23,16.459939
26.0,26,16.463938
9.0,9,16.463938
26.0,26,16.467942
28.0,28,16.473939
22.0,22,16.47494
13.0,13,16.475939
10.0,10,16.48294
13.0,13,16.487941
36.0,36,16.487941
32.0,32,16.489941
163.0,163,16.489941
25.0,25,16.490942
28.0,28,16.501937
10.0,10,16.501937
18.0,18,16.505938
16.0,16,16.505938
20.0,20,16.507939
53.0,53,16.513938
20.0,20,16.518935
17.0,17,16.520935
18.0,18,16.521935
15.0,15,16.526939
23.0,23,16.527939
46.0,46,16.533939
15.0,15,16.534939
16.0,16,16.536939
59.0,59,16.537939
13.0,13,16.539939
22.0,22,16.539939
43.0,43,16.540939
17.0,17,16.544998
17.0,17,16.549996
27.0,27,16.563998
20.0,20,16.569997
32.0,32,16.571997
34.0,34,16.578998
43.0,43,16.583996
45.0,45,16.584996
24.0,24,16.587996
53.0,53,16.587996
16.0,16,16.587996
